
Episode:0, Reward: -3022.985640
Episode:1, Reward: -3059.120585
Episode:2, Reward: -3081.016504
Episode:3, Reward: -3125.854041
Episode:4, Reward: -2966.388267
Episode:5, Reward: -3237.744089
Episode:6, Reward: -3152.679099
Episode:7, Reward: -3164.355527
Episode:8, Reward: -3109.683294
Episode:9, Reward: -3148.958972
Episode:10, Reward: -3183.491841
Episode:11, Reward: -3047.143946
Episode:12, Reward: -3149.523357
Episode:13, Reward: -3008.829576
Episode:14, Reward: -3075.528327
Episode:15, Reward: -3119.219727
Episode:16, Reward: -3069.356707
Episode:17, Reward: -3016.948617
Episode:18, Reward: -3178.975762
Episode:19, Reward: -3022.989903
Episode:20, Reward: -3082.889942
Episode:21, Reward: -3146.321291
Episode:22, Reward: -3203.369040
Episode:23, Reward: -3116.793221
Episode:24, Reward: -3051.902517
Episode:25, Reward: -3252.011252
Episode:26, Reward: -3193.144063
Episode:27, Reward: -3225.913098
Episode:28, Reward: -3039.945549
Episode:29, Reward: -3303.864262
Episode:30, Reward: -3138.755245
Episode:31, Reward: -3043.106658
Episode:32, Reward: -3179.192000
Episode:33, Reward: -3083.749702
Episode:34, Reward: -3136.130243
Episode:35, Reward: -3107.125591
Episode:36, Reward: -3141.138169
Episode:37, Reward: -3066.252746
Episode:38, Reward: -3122.888535
Episode:39, Reward: -3218.800992
Episode:40, Reward: -3074.475375
Episode:41, Reward: -3137.788962
Episode:42, Reward: -3083.404284
Episode:43, Reward: -3082.134143
Episode:44, Reward: -3107.469185
Episode:45, Reward: -3024.765604
Episode:46, Reward: -3024.878516
Episode:47, Reward: -2998.577668
Episode:48, Reward: -3192.385948
Episode:49, Reward: -2978.647575
Episode:50, Reward: -3046.662644
Episode:51, Reward: -3040.455511
Episode:52, Reward: -3068.823079
Episode:53, Reward: -3168.464070
Episode:54, Reward: -3277.590002
Episode:55, Reward: -3231.394717
Episode:56, Reward: -2986.844504
Episode:57, Reward: -3081.904813
Episode:58, Reward: -3158.195767
Episode:59, Reward: -3043.598852
Episode:60, Reward: -3224.830762
Episode:61, Reward: -3032.298361
Episode:62, Reward: -3198.428075
Episode:63, Reward: -3088.251328
Episode:64, Reward: -3087.752011
Episode:65, Reward: -3064.715978
Episode:66, Reward: -3024.025291
