
Episode: 0 , Reward: -2345.419637
Episode: 1 , Reward: -2351.535195
Episode: 2 , Reward: -2366.697220
Episode: 3 , Reward: -2362.011880
Episode: 4 , Reward: -2356.607408
Episode: 5 , Reward: -2354.853344
Episode: 6 , Reward: -2358.431832
Episode: 7 , Reward: -2338.280867
Episode: 8 , Reward: -2352.401693
Episode: 9 , Reward: -2350.385948
Episode: 10 , Reward: -2366.605139
Episode: 11 , Reward: -2352.263211
Episode: 12 , Reward: -2368.580015
Episode: 13 , Reward: -2356.965008
Episode: 14 , Reward: -2345.421202
Episode: 15 , Reward: -2357.745599
Episode: 16 , Reward: -2363.321573
Episode: 17 , Reward: -2352.700892
Episode: 18 , Reward: -2362.572887
Episode: 19 , Reward: -2356.439190
Episode: 20 , Reward: -2354.026128
Episode: 21 , Reward: -2356.162449
Episode: 22 , Reward: -2360.454230
Episode: 23 , Reward: -2352.876237
Episode: 24 , Reward: -2360.858674
Episode: 25 , Reward: -2360.994842
Episode: 26 , Reward: -2349.582988
Episode: 27 , Reward: -2348.375228
Episode: 28 , Reward: -2360.129780
Episode: 29 , Reward: -2363.333106
Episode: 30 , Reward: -2358.587628
Episode: 31 , Reward: -2358.666339
Episode: 32 , Reward: -2354.805254
Episode: 33 , Reward: -2358.104395
Episode: 34 , Reward: -2354.312560
Episode: 35 , Reward: -2361.084562
Episode: 36 , Reward: -2360.879132
Episode: 37 , Reward: -2357.220382
Episode: 38 , Reward: -2345.952886
Episode: 39 , Reward: -2354.854337
Episode: 40 , Reward: -2363.550247
Episode: 41 , Reward: -2354.929795
Episode: 42 , Reward: -2348.751362
Episode: 43 , Reward: -2363.786836
